,Metric,Average,Std
0,Accuracy,0.932052957868329,0.00852336836371504
1,Precision,0.6830172987846344,0.06461272009553957
2,Recall,0.7300492610837439,0.0559999861334019
3,F1-score,0.7011967614294303,0.02257876642534924
4,MCC,0.6663637423907933,0.025849005483724465
