feature	importance
max_hydrophobicity	0.09410433069522775
max_aliphacity	0.06433333005752205
tm_position	0.062007447235041646
mean_hydrophobicity	0.053478964946673715
most_charged	0.04768455945175055
tm_mean	0.037977824635584925
tm_max	0.0378363423615461
mean_beta_sheet	0.036864330006522124
most_hydrophobic_residue	0.03545651952047976
most_aliphatic_residue	0.03192197410046986
mean_aliphacity	0.0316667769780803
most_likely_beta_sheet	0.03133023915553288
mean_alpha_helix	0.03111398321510986
composition_(A)	0.028891395642266376
max_beta_sheet	0.028313956479905616
max_alpha_helix	0.023652338587241372
composition_(L)	0.02332725771603529
less_charged	0.02323312171273276
composition_(C)	0.022685748884180384
most_likely_alpha_helix	0.021760964179356752
composition_(P)	0.018612946738147614
composition_(I)	0.01776157188467292
composition_(T)	0.014494291434236367
composition_(S)	0.01426993478163616
composition_(G)	0.0142171277809528
composition_(V)	0.01396091162487231
composition_(F)	0.013174392324399466
composition_(D)	0.012993735311985522
composition_(W)	0.01289735104716679
max_charge	0.012817261766775705
composition_(R)	0.011707467468158697
composition_(K)	0.011359840690222502
min_charge	0.01130953710493064
composition_(E)	0.010245312667194396
composition_(Q)	0.010233772110993886
composition_(N)	0.009375615262684246
composition_(M)	0.008162847330110348
composition_(Y)	0.008039917678143316
composition_(H)	0.006724759431456329
