feature	importance
max_hydrophobicity	0.09915151891902019
tm_position	0.06582852249620136
max_aliphacity	0.06269728726144311
mean_hydrophobicity	0.055611272172154357
tm_max	0.04688833542267586
most_hydrophobic_residue	0.04349478894660058
most_aliphatic_residue	0.04149918376553968
tm_mean	0.03798003284265375
most_likely_beta_sheet	0.03748337520197684
mean_beta_sheet	0.03388032226094206
most_charged	0.033093360314332944
mean_aliphacity	0.03287532262162327
max_beta_sheet	0.03186263260915012
mean_alpha_helix	0.028703298109106625
max_alpha_helix	0.023947129448872832
composition_(A)	0.02346857082164154
composition_(C)	0.023335578080965848
composition_(L)	0.022406095050999015
less_charged	0.020338315491356215
most_likely_alpha_helix	0.019743884278307335
composition_(P)	0.016039592285107953
composition_(I)	0.014848501436845468
composition_(S)	0.013967727476573584
min_charge	0.013948643971454799
composition_(V)	0.013676575792045282
composition_(T)	0.012842095159840366
composition_(F)	0.01281630791576383
composition_(R)	0.012235962806969371
composition_(D)	0.012009877458749353
composition_(W)	0.01200278627086062
composition_(G)	0.01137071347288774
composition_(Q)	0.0113700623155711
composition_(E)	0.010611054758017133
max_charge	0.010032191537773745
composition_(K)	0.009672655363469194
composition_(N)	0.008361653133256737
composition_(Y)	0.007152323255944762
composition_(M)	0.006463488391650835
composition_(H)	0.0062889610816546085
