feature	importance
max_hydrophobicity	0.09467231038475954
max_aliphacity	0.06979207882004228
mean_hydrophobicity	0.06362263228602821
tm_position	0.058635342916396
tm_max	0.0438065972339449
most_hydrophobic_residue	0.03748757066577717
most_likely_beta_sheet	0.03691355863679443
most_aliphatic_residue	0.03513384987602076
tm_mean	0.03408216360268082
mean_aliphacity	0.03394899856918833
mean_beta_sheet	0.0332818849237516
mean_alpha_helix	0.032751020624603666
max_beta_sheet	0.03259610645084646
composition_(C)	0.03151279867214465
most_charged	0.02805058244099753
composition_(L)	0.026285402005786378
max_alpha_helix	0.0243601890733988
composition_(A)	0.024250615685507976
less_charged	0.019762753150327377
most_likely_alpha_helix	0.01843633926961705
composition_(S)	0.016525494061356408
composition_(I)	0.01503889271873874
composition_(R)	0.014939357430927577
composition_(P)	0.014708494673793102
composition_(V)	0.014263510774387084
composition_(G)	0.013636407032514774
composition_(T)	0.01219902018429572
composition_(E)	0.011908436674948536
composition_(K)	0.011882635331883853
composition_(W)	0.011467351514817198
min_charge	0.01138218639535452
composition_(F)	0.010882174603992493
max_charge	0.0106700272046694
composition_(N)	0.009791135500364888
composition_(Q)	0.00947270147121578
composition_(D)	0.00930094957162097
composition_(Y)	0.008407380965743715
composition_(M)	0.008357321555044395
composition_(H)	0.005783727045717023
